idManuscript_Feedback,Manuscript_manuscript_id,Reviewer_reviewer_id,Appropriateness,Clarity,Methodolgy,Experimental_results,ManuscriptFeedback_ReceivedDate,Recommendation_status
1,1,1,6,10,8,7,2020-01-01 7:07:45,ACCEPT
2,3,1,8,9,10,7,2021-07-28 5:09:00,ACCEPT
3,3,2,7,9,9,8,2021-07-29 5:09:00,ACCEPT
4,5,6,10,9,8,10,2021-07-28 5:09:00,ACCEPT
5,6,1,9,9,9,10,2021-03-26 7:00:23,ACCEPT
6,6,4,8,8,9,10,2021-03-24 7:00:23,ACCEPT
7,7,3,10,9,9,9,2021-01-07 9:12:34,ACCEPT
8,7,4,8,10,9,9,2021-01-12 9:12:34,ACCEPT
9,8,2,10,10,7,9,2021-02-28 8:23:45,ACCEPT
10,8,4,10,9,10,9,2021-02-25 8:23:45,ACCEPT
11,9,3,9,9,8,10,2021-04-04 2:02:22,ACCEPT
12,9,8,8,9,9,10,2021-04-10 2:02:22,ACCEPT
13,10,2,NULL,NULL,NULL,NULL,2021-09-02 11:00:01,NULL
14,11,1,6,7,10,8,2021-06-12 10:00:00,NULL
15,12,2,9,9,7,8,2021-07-01 9:09:01,NULL
16,12,4,NULL,NULL,NULL,NULL,2021-07-08 9:09:01,NULL
17,13,6,2,3,1,4,2022-02-12 4:03:02,REJECT
18,14,3,10,10,9,9,2021-01-21 9:23:23,ACCEPT
19,14,4,9,9,9,9,2021-02-01 9:00:00,ACCEPT
20,15,7,7,9,9,8,2021-07-22 9:00:20,ACCEPT
21,16,7,10,9,8,8,2021-05-12 3:00:23,ACCEPT
22,20,5,9,8,9,9,2021-05-03 1:01:01,ACCEPT
23,21,3,3,2,3,1,2021-04-21 2:22:22,REJECT
24,22,5,10,9,10,10,2020-12-11 10:10:21,ACCEPT
25,22,8,9,9,9,9,2020-12-01 11:00:00,ACCEPT
26,23,5,9,8,8,10,2021-04-04 11:00:00,ACCEPT
27,24,8,10,10,9,10,2021-04-09 2:00:22,ACCEPT
28,25,7,1,3,2,1,2021-09-21 2:22:22,REJECT